City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Vilhena,BR,78.8,scattered clouds,-12.74,-60.15,Hotel Mirage
288,Abu Samrah,SY,87.26,scattered clouds,35.3,37.18,
290,Sorong,ID,78.84,overcast clouds,-0.88,131.25,The Waigo Hotel
291,Sibu,MY,78.8,moderate rain,2.3,111.82,RH HOTEL (4 Star)
292,Vanimo,PG,80.04,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
293,Rincon,US,78.8,overcast clouds,32.3,-81.24,Bent tree subdivision
295,Diamantina,BR,77.76,overcast clouds,-18.25,-43.6,HOTEL MONTANHAS DE MINAS
296,Saint-Pierre,RE,75.2,overcast clouds,-21.34,55.48,Lindsey Hôtel
298,Gigmoto,PH,80.83,overcast clouds,13.78,124.39,Cj's Travellers Inn
300,Turan,VN,80.6,scattered clouds,16.07,108.22,Grand Mercure Danang
301,Cayenne,GF,86.0,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
308,Tanete,ID,76.77,moderate rain,-3.94,119.78,Wisma Tri Multi
310,Beyla,GN,85.91,overcast clouds,8.68,-8.63,DIAN SINKO
311,Santo Antonio,BR,84.2,broken clouds,-6.31,-35.48,Hotel Onça Puma
313,Maxixe,MZ,81.34,clear sky,-23.86,35.35,Oceano
318,Tevaitoa,PF,80.65,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
321,Kahului,US,75.2,moderate rain,20.89,-156.47,Maui Seaside Hotel
324,Wattegama,LK,77.18,moderate rain,6.8,81.48,
325,Simpang,ID,77.92,overcast clouds,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
328,Tarrafal,CV,87.8,clear sky,15.28,-23.77,Hotel Ixola
329,Baghdad,IQ,89.6,dust,33.34,44.4,Baghdad Hotel
330,Wakema,MM,77.67,light rain,16.6,95.18,AungKaDay Hotel
332,Standerton,ZA,86.0,clear sky,-26.93,29.24,Terrace Lofts
334,Tabuk,PH,75.67,broken clouds,17.42,121.44,Grand Zion Garden Resort Hotel
341,Tual,ID,83.39,broken clouds,-5.67,132.75,Grand Vilia Hotel
342,Padang,ID,79.52,moderate rain,-0.95,100.35,Mercure Padang
352,Touros,BR,84.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
359,Medea,DZ,75.2,clear sky,36.26,2.75,Hôtel M'Sallah
360,Dera Bugti,PK,76.1,clear sky,29.03,69.15,SARDAR GHULAM MUSTAFA KHAN BUGTI
362,Sao Gabriel Da Cachoeira,BR,80.6,clear sky,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
365,Itarema,BR,87.53,broken clouds,-2.92,-39.92,Windvillage
369,Buraydah,SA,87.8,clear sky,26.33,43.98,Mövenpick Hotel Qassim
373,Atambua,ID,77.63,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
378,Kendari,ID,78.69,clear sky,-3.94,122.5,Hotel Wixel
